Name              Market Cap          Price             Supply                Status
Stellar           4000026386          0.2268314400000   18960660856           Disabled
XRP               13472364464.89      0                 40267356241           Disabled
Ethereum          29645779174         283               105548334             Enabled
Dash              1218779277          146               8520211.5             Enabled
Monero            1558427127          92                16994106.48           Disabled
EOS               4472421721.04       4                 906245118             Disabled
NEO               1192531318          17                66300000              Enabled
Dash              1195564434.07       152.26755         8685652.5             Disabled
Litecoin          3370897586.78       60                62017098.35           Enabled
Cardano           2544776761.32       0.09081673        25927070538           Enabled
IOTA              1422767907          0.52164           2779530283.0          Enabled
Tether            2887589237          1.00102872        2822140336            Disabled
NEO               1170447404.9        17.35653          67600000.0            Disabled
Ethereum          30476969244         291.42719999999   106563222             Disabled
Cardano           2521214013          0                 26186341243.38        Disabled
Dash              1253601542.52       152.26755         8685652               Enabled
Litecoin          3180092063.0        55.4692           60857900.25           Disabled
Cardano           2591902256.9        0                 26964153359.52        Disabled
Litecoin          3180092063          58.7644           59698702              Enabled
IOTA              1369078552          0.5313            2779530283            Enabled
XRP               13598274413.16      0                 43003972685.3         Disabled
Tether            3085757126          1.0711007304000   2850361739.36         Enabled
TRON              1397983085          0.01978186        65748111645.0         Disabled
Bitcoin Cash      9899305053.0        517               19037892.5            Disabled
Cardano           2379837526.79       0.0953575665      27482694770           Disabled
Dash              1241994120          143.88585         8354770.5             Enabled
Ethereum          29368715817.62      291.42719999999   105548334.32          Disabled
Dash              1172349590.69       142               8768373.0             Disabled
Tether            3000828031.46       1                 2963247352.8          Enabled
EOS               4687441996.09       4                 951557373             Disabled
Monero            1543296766.92       96.8457           16994106              Disabled
IOTA              1436190246.25       0                 2862916191.49         Enabled
Litecoin          3243693904          58                59698702              Disabled
Bitcoin           114479218366.0      6420              18258420.5            Disabled
TRON              1437178872          0                 65748111645           Disabled
Bitcoin Cash      9089361912          558.93623616      17480246.75           Disabled
Cardano           2403400274.58       0.0917248973      25927070538           Disabled
Dash              1230386699          152               8768373               Enabled
Ethereum          28537525747         283               106563222.15          Disabled
Bitcoin Cash      9899305053.0        569               17307175              Enabled
Dash              1276816385          150.8706          8851093.5             Disabled
XRP               13850094309.7       0.328055          39094520623           Disabled
IOTA              1342233875.0        0.52164           2807325585.83         Enabled
XRP               13598274413.16      0                 41440191860.38        Disabled
Ethereum Classic  1352374604.7        12.85232          113337372             Enabled
Ethereum          28537525747         286.0304          107578109.98          Enabled
Ethereum          30476969244         280               110622773.47          Enabled
IOTA              1476457262          0.50715           3029688008.47         Enabled
Cardano           2521214013          0.099898403       27741965475.66        Enabled
TRON              1371852560.4        0                 68378036110.8         Disabled
Bitcoin           113367769644.0      6869.935          17741672              Enabled
Ethereum Classic  1326615088.42       13                108138410             Disabled
IOTA              1463034923.75       0                 3057483311.3          Disabled
Ethereum Classic  1352374604.7        12.60516          105019033.41          Disabled
Tether            3029137729          1                 2991468756.16         Enabled
Stellar           4000026386          0.21411192        19899307433           Disabled
Ethereum Classic  1403893637          13                107098618.23          Enabled
IOTA              1476457262          0                 2918506797            Disabled
Ethereum Classic  1287975814.0        12.975900000000   113337372             Disabled
IOTA              1422767907.5        0.52164           3001892705.64         Disabled
Stellar           4040026649          0                 20462495379.69        Disabled
EOS               4730446051          5.131611          978744727.44          Enabled
TRON              1358787297          0.02076116        71665441693           Enabled
EOS               4300405501.0        5                 942494922             Enabled
Dash              1160742169.0        149.47365         8602932               Enabled
NEO               1137321534.95       17                65000000              Disabled
Monero            1634078929.68       98                16830701.61           Disabled
XRP               13598274413.16      0.328055          42222082272           Disabled
Dash              1195564434          149               8437491               Enabled
Ethereum Classic  1352374604          12                110217995             Disabled
NEO               1126279578          18                66950000              Disabled
Tether            2944208634          1.051080156       2906804546            Enabled
IOTA              1342233875          0                 2779530283            Disabled
EOS               4687441996.09       5                 969682276             Disabled
Monero            1543296766.92       96.8457           16340487              Disabled
Dash              1276816385          152.26755         8933814               Disabled
Bitcoin           116702115810.0      6548.91           18086171.25           Enabled
Monero            1649209290          92                17647725.96           Disabled
Monero            1664339650.6        95                16830701              Enabled
Ethereum Classic  1352374604          12                112297580.28          Enabled
Tether            2887589237.82       1                 2822140336            Enabled
Ethereum          29645779174         269               103518558.66          Disabled
TRON              1397983085          0                 67720554994.35        Enabled
Tether            2830969841          1                 3019690159.52         Enabled
Ethereum          28537525747.31      286.0304          106563222             Disabled
Tether            2859279539          1.051080156       2906804546.08         Disabled
Ethereum          29368715817         294.12559999999   103518558             Enabled
Stellar           4080026913.72       0.21835176        20274766064.28        Enabled
TRON              1319591510.48       0                 72322922809           Disabled
Bitcoin Cash      9089361912.3        522               17826390              Disabled
TRON              1345722035          0.0213487399999   66405592761           Enabled
